"occurrenceID","datasetName","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","previousIdentification","countryCode","country","stateProvince","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","eventDate","day","month","year","basisOfRecord","recordedBy","license","dataSource"
91116,"Sampaio_R","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Bassaricyon","alleni","Bassaricyon alleni","Bassaricyon alleni","BR","Brazil","Amazonas","Ipixuna e Eirunepe",-7.69945,-71.25238,50,"2009-04-01",1,4,2009,"HumanObservation","Sampaio_R","http://creativecommons.org/licenses/by/4.0/","data paper"
91121,"Sampaio_R","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Bassaricyon","alleni","Bassaricyon alleni","Bassaricyon alleni","BR","Brazil","Amazonas","Ipixuna e Eirunepe",-7.69829,-71.25361,50,"2009-04-01",1,4,2009,"HumanObservation","Sampaio_R","http://creativecommons.org/licenses/by/4.0/","data paper"
91119,"Sampaio_R","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Bassaricyon","alleni","Bassaricyon alleni","Bassaricyon alleni","BR","Brazil","Amazonas","Ipixuna e Eirunepe",-7.63114,-71.29633,50,"2009-04-01",1,4,2009,"HumanObservation","Sampaio_R","http://creativecommons.org/licenses/by/4.0/","data paper"
91118,"Sampaio_R","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Bassaricyon","alleni","Bassaricyon alleni","Bassaricyon alleni","BR","Brazil","Amazonas","Ipixuna e Eirunepe",-7.63098,-71.29655,50,"2009-04-01",1,4,2009,"HumanObservation","Sampaio_R","http://creativecommons.org/licenses/by/4.0/","data paper"
91114,"Sampaio_R","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Bassaricyon","alleni","Bassaricyon alleni","Bassaricyon alleni","BR","Brazil","Amazonas","Ipixuna e Eirunepe",-7.57634,-71.23217,50,"2009-04-01",1,4,2009,"HumanObservation","Sampaio_R","http://creativecommons.org/licenses/by/4.0/","data paper"
91117,"Sampaio_R","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Bassaricyon","alleni","Bassaricyon alleni","Bassaricyon alleni","BR","Brazil","Amazonas","Ipixuna e Eirunepe",-7.49438,-71.13139,50,"2009-04-01",1,4,2009,"HumanObservation","Sampaio_R","http://creativecommons.org/licenses/by/4.0/","data paper"
91120,"Sampaio_R","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Bassaricyon","alleni","Bassaricyon alleni","Bassaricyon alleni","BR","Brazil","Amazonas","Ipixuna e Eirunepe",-7.48761,-71.12953,50,"2009-04-01",1,4,2009,"HumanObservation","Sampaio_R","http://creativecommons.org/licenses/by/4.0/","data paper"
91134,"Sampaio_R","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Bassaricyon","alleni","Bassaricyon alleni","Bassaricyon alleni","BR","Brazil","Amazonas","Careiro",-3.68265,-60.3235,50,"2009-05-01",1,5,2009,"HumanObservation","Sampaio_R","http://creativecommons.org/licenses/by/4.0/","data paper"
91092,"Sampaio_R","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Bassaricyon","alleni","Bassaricyon alleni","Bassaricyon alleni","BR","Brazil","Amazonas","Canutama",-8.37725,-64.12369,50,"2014-11-01",1,11,2014,"HumanObservation","Sampaio_R","http://creativecommons.org/licenses/by/4.0/","data paper"
47597,"Chacon-Pacheco, Julio","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Bassaricyon","medius","Bassaricyon medius","Bassaricyon medius","CO","Colombia","Cordoba","Monteria",8.718922,-75.89199,100,"2017-11-01",1,11,2017,"HumanObservation","Chacon-Pacheco, Julio","http://creativecommons.org/licenses/by/4.0/","data paper"
86658,"Pedroluna_zapotitlan","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Bassariscus","astutus","Bassariscus astutus","Bassariscus astutus","MX","Mexico","Puebla","San Pedro Cholula",19.05833,-98.30114,10,"2009-01-01",1,1,2009,"HumanObservation","Pedro Luna","http://creativecommons.org/licenses/by/4.0/","data paper"
86638,"Pedroluna_zapotitlan","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Bassariscus","astutus","Bassariscus astutus","Bassariscus astutus","MX","Mexico","Puebla","San Pedro Cholula",19.0625,-98.31923,10,"2012-10-01",1,10,2012,"HumanObservation","Pedro Luna","http://creativecommons.org/licenses/by/4.0/","data paper"
86627,"Pedroluna_zapotitlan","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Bassariscus","astutus","Bassariscus astutus","Bassariscus astutus","MX","Mexico","Puebla","San Pedro Cholula",19.07521,-98.34882,10,"2014-12-01",1,12,2014,"HumanObservation","Pedro Luna","http://creativecommons.org/licenses/by/4.0/","data paper"
31612,"Equipe_SC","Animalia","Chordata","Mammalia","Carnivora","Canidae","Cerdocyon","thous","Cerdocyon thous","Cerdocyon thous","BR","Brazil","Santa Catarina","Bom Retiro",-27.81719,-49.56756,100,"2000-04-01",1,4,2000,"HumanObservation","Cherem, J.J., Graipel, M.E.","http://creativecommons.org/licenses/by/4.0/","data paper"
31614,"Equipe_SC","Animalia","Chordata","Mammalia","Carnivora","Canidae","Cerdocyon","thous","Cerdocyon thous","Cerdocyon thous","BR","Brazil","Santa Catarina","Palhoca",-27.8522,-48.62232,100,"2000-08-01",1,8,2000,"HumanObservation","Cherem, J.J., Graipel, M.E.","http://creativecommons.org/licenses/by/4.0/","data paper"
31613,"Equipe_SC","Animalia","Chordata","Mammalia","Carnivora","Canidae","Cerdocyon","thous","Cerdocyon thous","Cerdocyon thous","BR","Brazil","Santa Catarina","Ilha de Santa Catarina",-27.46753,-48.38304,100,"2000-08-01",1,8,2000,"HumanObservation","Cherem, J.J., Graipel, M.E.","http://creativecommons.org/licenses/by/4.0/","data paper"
31634,"Equipe_SC","Animalia","Chordata","Mammalia","Carnivora","Canidae","Cerdocyon","thous","Cerdocyon thous","Cerdocyon thous","BR","Brazil","Santa Catarina","Bom Retiro",-27.74178,-49.77523,1000,"2000-10-01",1,10,2000,"HumanObservation","Cherem, J.J.","http://creativecommons.org/licenses/by/4.0/","data paper"
31635,"Equipe_SC","Animalia","Chordata","Mammalia","Carnivora","Canidae","Cerdocyon","thous","Cerdocyon thous","Cerdocyon thous","BR","Brazil","Santa Catarina","Palmeira",-27.56372,-50.1537,1000,"2000-10-01",1,10,2000,"HumanObservation","Cherem, J.J.","http://creativecommons.org/licenses/by/4.0/","data paper"
31636,"Equipe_SC","Animalia","Chordata","Mammalia","Carnivora","Canidae","Cerdocyon","thous","Cerdocyon thous","Cerdocyon thous","BR","Brazil","Santa Catarina","Curitibanos",-27.30885,-50.61512,100,"2000-10-01",1,10,2000,"HumanObservation","Cherem, J.J.","http://creativecommons.org/licenses/by/4.0/","data paper"
31588,"Equipe_SC","Animalia","Chordata","Mammalia","Carnivora","Canidae","Cerdocyon","thous","Cerdocyon thous","Cerdocyon thous","BR","Brazil","Santa Catarina","Ipuacu",-26.61044,-52.48573,100,"2001-01-01",1,1,2001,"HumanObservation","Cherem, J.J.","http://creativecommons.org/licenses/by/4.0/","data paper"
31589,"Equipe_SC","Animalia","Chordata","Mammalia","Carnivora","Canidae","Cerdocyon","thous","Cerdocyon thous","Cerdocyon thous","BR","Brazil","Santa Catarina","Ilha de Sao Francisco do Sul",-26.35531,-48.64921,100,"2001-01-01",1,1,2001,"HumanObservation","Cherem, J.J.","http://creativecommons.org/licenses/by/4.0/","data paper"
31590,"Equipe_SC","Animalia","Chordata","Mammalia","Carnivora","Canidae","Cerdocyon","thous","Cerdocyon thous","Cerdocyon thous","BR","Brazil","Santa Catarina","Ilha de Sao Francisco do Sul",-26.29593,-48.61676,1000,"2001-01-01",1,1,2001,"HumanObservation","Cherem, J.J.","http://creativecommons.org/licenses/by/4.0/","data paper"
31562,"Equipe_SC","Animalia","Chordata","Mammalia","Carnivora","Canidae","Cerdocyon","thous","Cerdocyon thous","Cerdocyon thous","BR","Brazil","Santa Catarina",NA,-27.76778,-49.66448,1000,"2001-04-01",1,4,2001,"HumanObservation","Cherem, J.J.","http://creativecommons.org/licenses/by/4.0/","data paper"
