columnName,standardTerm,definition
occurrenceID,http://rs.tdwg.org/dwc/terms/occurrenceID,
gbifID,,GBIF occurrence ID
datasetKey,,GBIF dataset ID
kingdom,http://rs.tdwg.org/dwc/terms/kingdom,
phylum,http://rs.tdwg.org/dwc/terms/phylum,
class,http://rs.tdwg.org/dwc/terms/class,
order,http://rs.tdwg.org/dwc/terms/order,
family,http://rs.tdwg.org/dwc/terms/family,
genus,http://rs.tdwg.org/dwc/terms/genus,
specificEpithet,http://rs.tdwg.org/dwc/terms/specificEpithet,
scientificName,http://rs.tdwg.org/dwc/terms/scientificName,
previousIdentification,http://rs.tdwg.org/dwc/terms/previousIdentifications,
country,http://rs.tdwg.org/dwc/terms/country,
countryCode,http://rs.tdwg.org/dwc/terms/countryCode,
stateProvince,http://rs.tdwg.org/dwc/terms/stateProvince,
locality,http://rs.tdwg.org/dwc/terms/locality,
decimalLatitude,http://rs.tdwg.org/dwc/terms/decimalLatitude,
decimalLongitude,http://rs.tdwg.org/dwc/terms/decimalLongitude,
coordinateUncertaintyInMeters,http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters,
coordinatePrecision,http://rs.tdwg.org/dwc/terms/coordinatePrecision,
eventDate,http://rs.tdwg.org/dwc/terms/eventDate,
day,http://rs.tdwg.org/dwc/terms/day,
month,http://rs.tdwg.org/dwc/terms/month,
year,http://rs.tdwg.org/dwc/terms/year,
verbatimEventDate,http://rs.tdwg.org/dwc/terms/verbatimEventDate,
taxonKey,,taxon ID according to GBIF
basisOfRecord,http://rs.tdwg.org/dwc/terms/basisOfRecord,
recordedBy,http://rs.tdwg.org/dwc/terms/recordedBy,
identifiedBy,http://rs.tdwg.org/dwc/terms/identifiedBy,
institutionCode,http://rs.tdwg.org/dwc/terms/institutionCode,
collectionCode,http://rs.tdwg.org/dwc/terms/collectionCode,
catalogNumber,http://rs.tdwg.org/dwc/terms/catalogNumber,
license,http://purl.org/dc/terms/license,
dataSource,,"source of the record, either GBIF (DOI: 10.15468/dl.e2myya) or data paper (DOI: 10.1002/ecy.3128)"
datasetName,http://rs.tdwg.org/dwc/terms/datasetName,
